run,type,module,name,attrname,attrvalue,value
General-25-20191214-18:08:44-11140,param,,,*.node[*].appl.beaconInterval,1s,
General-25-20191214-18:08:44-11140,param,,,*.node[*].veinsmobility.x,0,
General-25-20191214-18:08:44-11140,param,,,*.node[*].veinsmobility.y,0,
General-25-20191214-18:08:44-11140,param,,,*.node[*].veinsmobility.z,0,
General-25-20191214-18:08:44-11140,param,,,*.node[*].veinsmobility.setHostSpeed,false,
General-25-20191214-18:08:44-11140,param,,,*.node[5].veinsmobility.accidentCount,1,
General-25-20191214-18:08:44-11140,param,,,*.node[5].veinsmobility.accidentStart,353s,
General-25-20191214-18:08:44-11140,param,,,*.node[5].veinsmobility.accidentDuration,100000s,
General-25-20191214-18:08:44-11140,param,,,*.node[22].veinsmobility.accidentCount,1,
General-25-20191214-18:08:44-11140,param,,,*.node[22].veinsmobility.accidentStart,320s,
General-25-20191214-18:08:44-11140,param,,,*.node[22].veinsmobility.accidentDuration,100000s,
General-18-20191214-17:50:59-11140,runattr,,,configname,General,
General-18-20191214-17:50:59-11140,runattr,,,datetime,20191214-17:50:59,
General-18-20191214-17:50:59-11140,runattr,,,experiment,General,
General-18-20191214-17:50:59-11140,runattr,,,inifile,lhv.ini,
General-18-20191214-17:50:59-11140,runattr,,,iterationvars,,
General-18-20191214-17:50:59-11140,runattr,,,iterationvarsf,,
General-18-20191214-17:50:59-11140,runattr,,,measurement,,
General-18-20191214-17:50:59-11140,runattr,,,network,RSUExampleScenario,
General-18-20191214-17:50:59-11140,runattr,,,processid,11140,
General-18-20191214-17:50:59-11140,runattr,,,repetition,18,
General-18-20191214-17:50:59-11140,runattr,,,replication,#18,
General-18-20191214-17:50:59-11140,runattr,,,resultdir,results,
General-18-20191214-17:50:59-11140,runattr,,,runnumber,18,
General-18-20191214-17:50:59-11140,runattr,,,seedset,18,
General-18-20191214-17:50:59-11140,param,,,*.playgroundSizeX,5100m,
General-18-20191214-17:50:59-11140,param,,,*.playgroundSizeY,50m,
General-18-20191214-17:50:59-11140,param,,,*.playgroundSizeZ,50m,
