OMNeT++ Discrete Event Simulation  (C) 1992-2019 Andras Varga, OpenSim Ltd.
Version: 5.5.1, build: 190613-08ba16f914, edition: Academic Public License -- NOT FOR COMMERCIAL USE
See the license for distribution terms and warranty disclaimer

Setting up Cmdenv...

Loading NED files from ../../src/veins:  42
Loading NED files from /home/veins/workspace.omnetpp/lair/examples/lair:  1

Assigned runID=General-0-20191214-17:06:23-11140
Setting up network "RSUExampleScenario"...
Initializing...

Running simulation...
Distância do 711:  396.947
Distância do 525:  397.551
Distância do 729:  404.448
Distância do 615:  405.052
Distância do 573:  411.949
Distância do 441:  412.553
Distância do 603:  420.054
Distância do 825:  426.95
Distância do 873:  434.451
Distância do 747:  435.056
Distância do 885:  441.952
Distância do 633:  442.557
Distância do 789:  449.453
Distância do 777:  450.058
Distância do 675:  427.555
Distância do 849:  456.954
Distância do 855:  457.559
Distância do 909:  464.455
Distância do 963:  465.06
Distância do 933:  471.956
Distância do 783:  472.561
Distância do 939:  479.456
Distância do 891:  480.062
Distância do 945:  486.957
Distância do 957:  487.563
Distância do 927:  494.458
Distância do 951:  495.064
Distância do 1041:  501.959
Distância do 915:  502.565
Distância do 1053:  509.46
Distância do 1071:  510.066
Distância do 1059:  516.961
Distância do 477:  517.567
Distância do 1017:  524.462
Distância do 699:  532.569
Distância do 1029:  531.962
Distância do 561:  525.068
Distância do 759:  540.07
Distância do 993:  539.463
Distância do 987:  546.964
Distância do 795:  547.571
Distância do 1089:  554.465
Distância do 843:  561.966
Distância do 837:  570.074
Distância do 861:  569.467
Distância do 819:  562.573
Distância do 879:  577.576
Distância do 975:  576.968
Distância do 1095:  584.469
Distância do 807:  555.072
Distância do 903:  585.077
Distância do 1101:  591.97
Distância do 813:  592.578
Distância do 981:  599.471
Distância do 831:  600.079
Distância do 867:  607.58
Distância do 1125:  606.972
Distância do 1155:  614.473
Distância do 921:  615.081
Distância do 1191:  621.973
Distância do 897:  630.083
Distância do 1119:  637.584
Distância do 1215:  636.975
Distância do 1047:  645.085
Distância do 1023:  644.476
Distância do 1203:  629.474
Distância do 1113:  651.977
Distância do 1005:  622.582
Distância do 1107:  652.586
Distância do 1179:  659.478
Distância do 999:  666.979
Distância do 1143:  667.588
Distância do 1167:  674.48
Distância do 1221:  660.087
Distância do 1137:  675.089
Distância do 1173:  681.981
Distância do 1131:  682.59
